state,state_display,date,year,month_number,month,date_label,division,division_name,inflation_yoy,inflation_mom,rank_highest_to_lowest,pressure_group
Kedah,Kedah,2013-09-01,2013,9,September,September 2013,01,Food and non-alcoholic beverages,4.1,0.4,5,Other states
Kedah,Kedah,2013-10-01,2013,10,October,October 2013,01,Food and non-alcoholic beverages,3.7,0.4,7,Other states
Kedah,Kedah,2013-11-01,2013,11,November,November 2013,01,Food and non-alcoholic beverages,4.0,0.0,7,Other states
Kedah,Kedah,2013-12-01,2013,12,December,December 2013,01,Food and non-alcoholic beverages,4.8,1.1,5,Other states
Kedah,Kedah,2014-01-01,2014,1,January,January 2014,01,Food and non-alcoholic beverages,4.1,0.8,6,Other states
Kedah,Kedah,2014-02-01,2014,2,February,February 2014,01,Food and non-alcoholic beverages,4.3,0.2,5,Other states
Kedah,Kedah,2014-03-01,2014,3,March,March 2014,01,Food and non-alcoholic beverages,4.6,0.2,4,Other states
Kedah,Kedah,2014-04-01,2014,4,April,April 2014,01,Food and non-alcoholic beverages,4.0,-0.2,7,Other states
Kedah,Kedah,2014-05-01,2014,5,May,May 2014,01,Food and non-alcoholic beverages,3.1,-0.4,8,Other states
Kedah,Kedah,2014-06-01,2014,6,June,June 2014,01,Food and non-alcoholic beverages,3.6,0.6,7,Other states
Kedah,Kedah,2014-07-01,2014,7,July,July 2014,01,Food and non-alcoholic beverages,3.2,0.4,7,Other states
Kedah,Kedah,2014-08-01,2014,8,August,August 2014,01,Food and non-alcoholic beverages,3.2,-0.2,9,Other states
Kedah,Kedah,2014-09-01,2014,9,September,September 2014,01,Food and non-alcoholic beverages,3.3,0.4,7,Other states
Kedah,Kedah,2014-10-01,2014,10,October,October 2014,01,Food and non-alcoholic beverages,2.7,-0.3,10,Other states
Kedah,Kedah,2014-11-01,2014,11,November,November 2014,01,Food and non-alcoholic beverages,2.8,0.1,8,Other states
Kedah,Kedah,2014-12-01,2014,12,December,December 2014,01,Food and non-alcoholic beverages,2.2,0.5,8,Other states
