strata,strata_display,date,date_number,year,month_number,month,division,division_name,food_consumer_price_index
rural,Rural households,2019-09-01,20190901,2019,9,September,01,Food and beverages,126.4
rural,Rural households,2019-10-01,20191001,2019,10,October,01,Food and beverages,126.5
rural,Rural households,2019-11-01,20191101,2019,11,November,01,Food and beverages,126.4
rural,Rural households,2019-12-01,20191201,2019,12,December,01,Food and beverages,126.9
rural,Rural households,2020-01-01,20200101,2020,1,January,01,Food and beverages,127.2
rural,Rural households,2020-02-01,20200201,2020,2,February,01,Food and beverages,127.2
rural,Rural households,2020-03-01,20200301,2020,3,March,01,Food and beverages,127.2
rural,Rural households,2020-04-01,20200401,2020,4,April,01,Food and beverages,126.8
rural,Rural households,2020-05-01,20200501,2020,5,May,01,Food and beverages,127.1
rural,Rural households,2020-06-01,20200601,2020,6,June,01,Food and beverages,127.7
rural,Rural households,2020-07-01,20200701,2020,7,July,01,Food and beverages,127.7
rural,Rural households,2020-08-01,20200801,2020,8,August,01,Food and beverages,127.6
rural,Rural households,2020-09-01,20200901,2020,9,September,01,Food and beverages,127.5
rural,Rural households,2020-10-01,20201001,2020,10,October,01,Food and beverages,127.6
rural,Rural households,2020-11-01,20201101,2020,11,November,01,Food and beverages,127.7
rural,Rural households,2020-12-01,20201201,2020,12,December,01,Food and beverages,128.3
rural,Rural households,2021-01-01,20210101,2021,1,January,01,Food and beverages,128.5
rural,Rural households,2021-02-01,20210201,2021,2,February,01,Food and beverages,128.8
rural,Rural households,2021-03-01,20210301,2021,3,March,01,Food and beverages,128.7
rural,Rural households,2021-04-01,20210401,2021,4,April,01,Food and beverages,129.3
rural,Rural households,2021-05-01,20210501,2021,5,May,01,Food and beverages,129.0
rural,Rural households,2021-06-01,20210601,2021,6,June,01,Food and beverages,129.4
rural,Rural households,2021-07-01,20210701,2021,7,July,01,Food and beverages,129.4
rural,Rural households,2021-08-01,20210801,2021,8,August,01,Food and beverages,129.5
rural,Rural households,2021-09-01,20210901,2021,9,September,01,Food and beverages,130.3
rural,Rural households,2021-10-01,20211001,2021,10,October,01,Food and beverages,130.4
rural,Rural households,2021-11-01,20211101,2021,11,November,01,Food and beverages,130.7
rural,Rural households,2021-12-01,20211201,2021,12,December,01,Food and beverages,131.7
rural,Rural households,2022-01-01,20220101,2022,1,January,01,Food and beverages,132.5
rural,Rural households,2022-02-01,20220201,2022,2,February,01,Food and beverages,132.6
rural,Rural households,2022-03-01,20220301,2022,3,March,01,Food and beverages,132.9
rural,Rural households,2022-04-01,20220401,2022,4,April,01,Food and beverages,133.2
rural,Rural households,2022-05-01,20220501,2022,5,May,01,Food and beverages,134.0
rural,Rural households,2022-06-01,20220601,2022,6,June,01,Food and beverages,135.3
rural,Rural households,2022-07-01,20220701,2022,7,July,01,Food and beverages,135.9
rural,Rural households,2022-08-01,20220801,2022,8,August,01,Food and beverages,136.2
