state,state_display,date,year,month_number,month,date_number,division,division_name,food_consumer_price_index
Kelantan,Kelantan,2016-11-01,2016,11,November,201611,01,Food and non-alcoholic beverages,124.508498256303
Kelantan,Kelantan,2016-12-01,2016,12,December,201612,01,Food and non-alcoholic beverages,125.386473592437
Kelantan,Kelantan,2017-01-01,2017,1,January,201701,01,Food and non-alcoholic beverages,126.949331155462
Kelantan,Kelantan,2017-02-01,2017,2,February,201702,01,Food and non-alcoholic beverages,127.496525294118
Kelantan,Kelantan,2017-03-01,2017,3,March,201703,01,Food and non-alcoholic beverages,126.791707878151
Kelantan,Kelantan,2017-04-01,2017,4,April,201704,01,Food and non-alcoholic beverages,126.166901785714
Kelantan,Kelantan,2017-05-01,2017,5,May,201705,01,Food and non-alcoholic beverages,127.301926197479
Kelantan,Kelantan,2017-06-01,2017,6,June,201706,01,Food and non-alcoholic beverages,128.373826764706
Kelantan,Kelantan,2017-07-01,2017,7,July,201707,01,Food and non-alcoholic beverages,128.742584369748
Kelantan,Kelantan,2017-08-01,2017,8,August,201708,01,Food and non-alcoholic beverages,129.349619810924
Kelantan,Kelantan,2017-09-01,2017,9,September,201709,01,Food and non-alcoholic beverages,128.695755819328
Kelantan,Kelantan,2017-10-01,2017,10,October,201710,01,Food and non-alcoholic beverages,128.368716617647
Kelantan,Kelantan,2017-11-01,2017,11,November,201711,01,Food and non-alcoholic beverages,128.616954390756
Kelantan,Kelantan,2017-12-01,2017,12,December,201712,01,Food and non-alcoholic beverages,129.652318172269
Kelantan,Kelantan,2018-01-01,2018,1,January,201801,01,Food and non-alcoholic beverages,130.431775077115
Kelantan,Kelantan,2018-02-01,2018,2,February,201802,01,Food and non-alcoholic beverages,130.351024797832
Kelantan,Kelantan,2018-03-01,2018,3,March,201803,01,Food and non-alcoholic beverages,129.524864451855
Kelantan,Kelantan,2018-04-01,2018,4,April,201804,01,Food and non-alcoholic beverages,128.90685665694
Kelantan,Kelantan,2018-05-01,2018,5,May,201805,01,Food and non-alcoholic beverages,129.301925343893
