state,state_display,date,year,month_number,month,period_id,period_label,date_number,division,division_name,inflation_yoy,inflation_mom
Pahang,Pahang,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.5,-0.3
Pulau Pinang,Penang,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.1,0.2
Perak,Perak,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,4.5,-0.6
Perlis,Perlis,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,3.8,-0.8
W.P. Putrajaya,Putrajaya,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,4.5,-0.3
Sabah,Sabah,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.0,0.2
Sarawak,Sarawak,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,3.9,0.5
Selangor,Selangor,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.7,0.1
Terengganu,Terengganu,2011-11-01,2011,11,November,2011-11,November 2011,201111,01,Food and non-alcoholic beverages,5.1,-0.3
Johor,Johor,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,6.3,0.6
Kedah,Kedah,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,4.5,0.3
Kelantan,Kelantan,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.9,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,4.6,0.1
W.P. Labuan,Labuan,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.0,0.1
Melaka,Melaka,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.6,0.6
Negeri Sembilan,Negeri Sembilan,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.0,0.4
Pahang,Pahang,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.5,0.8
Pulau Pinang,Penang,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.3,0.4
Perak,Perak,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,4.3,0.2
Perlis,Perlis,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,2.6,-0.4
W.P. Putrajaya,Putrajaya,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,4.9,0.3
Sabah,Sabah,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,4.2,0.4
Sarawak,Sarawak,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,3.6,0.3
Selangor,Selangor,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,5.8,0.1
Terengganu,Terengganu,2011-12-01,2011,12,December,2011-12,December 2011,201112,01,Food and non-alcoholic beverages,4.8,0.5
Johor,Johor,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,6.8,1.8
Kedah,Kedah,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,4.2,0.9
Kelantan,Kelantan,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,5.3,1.0
W.P. Kuala Lumpur,Kuala Lumpur,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,3.8,0.6
W.P. Labuan,Labuan,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,4.7,1.4
Melaka,Melaka,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,5.2,1.1
Negeri Sembilan,Negeri Sembilan,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,4.5,0.6
Pahang,Pahang,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,5.1,0.6
Pulau Pinang,Penang,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,4.9,0.8
Perak,Perak,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,3.9,0.9
Perlis,Perlis,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,1.6,0.1
W.P. Putrajaya,Putrajaya,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,3.6,0.2
Sabah,Sabah,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,3.4,0.8
Sarawak,Sarawak,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,3.6,0.9
Selangor,Selangor,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,5.3,0.6
Terengganu,Terengganu,2012-01-01,2012,1,January,2012-01,January 2012,201201,01,Food and non-alcoholic beverages,4.1,0.8
Johor,Johor,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,3.3,-1.8
Kedah,Kedah,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,2.9,-0.6
Kelantan,Kelantan,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,3.8,-1.2
W.P. Kuala Lumpur,Kuala Lumpur,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,2.6,-0.5
W.P. Labuan,Labuan,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,5.6,1.0
Melaka,Melaka,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,2.1,-1.6
Negeri Sembilan,Negeri Sembilan,2012-02-01,2012,2,February,2012-02,February 2012,201202,01,Food and non-alcoholic beverages,2.8,-0.6
