state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Pahang,Pahang,2018,"Fish landings per 1,000 residents",3,72.80891451913257,72.8,80.8986075386585,62.20706427437665,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",61295.3,659058.6,121205,1664.7,Higher exposure
Pahang,Pahang,2018,Population,4,1664.7,"1,664.7 thousand",24.55614805520703,62.20706427437665,Higher values mean stronger demand pressure,thousand people,61295.3,659058.6,121205,1664.7,Lower exposure
Pahang,Pahang,2019,Food inflation,1,0.9500000000000001,1.0%,22.262773722627742,48.430408535544316,Higher values mean more price pressure,%,56370.0,605461.2,99739,1671.4,Lower exposure
Pahang,Pahang,2019,"Crop production per 1,000 residents",2,362.24793586215145,362.2,60.15713591582933,48.430408535544316,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",56370.0,605461.2,99739,1671.4,Moderate exposure
Pahang,Pahang,2019,"Fish landings per 1,000 residents",3,59.67392605001795,59.7,86.76373361903516,48.430408535544316,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",56370.0,605461.2,99739,1671.4,Higher exposure
Pahang,Pahang,2019,Population,4,1671.4,"1,671.4 thousand",24.537990884685023,48.430408535544316,Higher values mean stronger demand pressure,thousand people,56370.0,605461.2,99739,1671.4,Lower exposure
Pahang,Pahang,2020,Food inflation,1,1.3416666666666668,1.3%,61.926605504587165,51.43833937393584,Higher values mean more price pressure,%,56921.0,638687.8999999999,101317,1591.3,Moderate exposure
Pahang,Pahang,2020,"Crop production per 1,000 residents",2,401.3623452523094,401.4,48.14255318833087,51.43833937393584,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",56921.0,638687.8999999999,101317,1591.3,Moderate exposure
Pahang,Pahang,2020,"Fish landings per 1,000 residents",3,63.669326965374225,63.7,73.99794077664875,51.43833937393584,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",56921.0,638687.8999999999,101317,1591.3,Higher exposure
Pahang,Pahang,2020,Population,4,1591.3,"1,591.3 thousand",21.68625802617657,51.43833937393584,Higher values mean stronger demand pressure,thousand people,56921.0,638687.8999999999,101317,1591.3,Lower exposure
Pahang,Pahang,2021,Food inflation,1,2.216666666666667,2.2%,88.01843317972352,57.6799486465128,Higher values mean more price pressure,%,62175.5,713801.8,94815,1601.5,Higher exposure
Pahang,Pahang,2021,"Crop production per 1,000 residents",2,445.7082734935998,445.7,52.83489339684282,57.6799486465128,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",62175.5,713801.8,94815,1601.5,Moderate exposure
Pahang,Pahang,2021,"Fish landings per 1,000 residents",3,59.20387137059007,59.2,68.10659982615562,57.6799486465128,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",62175.5,713801.8,94815,1601.5,Higher exposure
Pahang,Pahang,2021,Population,4,1601.5,"1,601.5 thousand",21.75986818332924,57.6799486465128,Higher values mean stronger demand pressure,thousand people,62175.5,713801.8,94815,1601.5,Lower exposure
Pahang,Pahang,2022,Food inflation,1,4.941666666666666,4.9%,38.70967741935484,41.77293248814981,Higher values mean more price pressure,%,66624.5,817389.3,107982,1614.3,Moderate exposure
Pahang,Pahang,2022,"Crop production per 1,000 residents",2,506.34287307191977,506.3,41.59582190041656,41.77293248814981,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",66624.5,817389.3,107982,1614.3,Moderate exposure
Pahang,Pahang,2022,"Fish landings per 1,000 residents",3,66.89091246980115,66.9,64.96381282283562,41.77293248814981,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",66624.5,817389.3,107982,1614.3,Moderate exposure
Pahang,Pahang,2022,Population,4,1614.3,"1,614.3 thousand",21.82241780999223,41.77293248814981,Higher values mean stronger demand pressure,thousand people,66624.5,817389.3,107982,1614.3,Lower exposure
Perak,Perak,2018,Food inflation,1,1.1,1.1%,78.94736842105264,65.74870172031514,Higher values mean more price pressure,%,108474.0,575635.9,313852,2503.5,Higher exposure
Perak,Perak,2018,"Crop production per 1,000 residents",2,229.93245456361095,229.9,79.33848700448705,65.74870172031514,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",108474.0,575635.9,313852,2503.5,Higher exposure
Perak,Perak,2018,"Fish landings per 1,000 residents",3,125.36528859596565,125.4,66.99721996262171,65.74870172031514,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",108474.0,575635.9,313852,2503.5,Higher exposure
Perak,Perak,2018,Population,4,2503.5,"2,503.5 thousand",37.71173149309912,65.74870172031514,Higher values mean stronger demand pressure,thousand people,108474.0,575635.9,313852,2503.5,Moderate exposure
Perak,Perak,2019,Food inflation,1,1.5333333333333332,1.5%,47.810218978102185,58.19053214871724,Higher values mean more price pressure,%,107977.20000000001,574376.0,314952,2508.8,Moderate exposure
